CORRECT_SENTENCE,ERRONEOUS_SENTENCE
A soo ollattay amottishin kare ollattawu efeettees,A soo ollattay amoxxihsim kare ollattaa epeexxaas
Aadhdhida taskkaara yootin hachchisi kaho giddenna,Aaddida xaskkaara yooxim haccisi kaho gidanna
Aafuwa doonan miizaa heemiya naati ciimaa wayssoosona,Aapuwa doonam miizaa heemiya naaxi ciimaa wayssoosona
Aakkidi gidenna ayfidi gidees,Aakkidi gidanna aypidi gidaas
Aatta leqqidaara eyya gelawu,Aaxxa leqqidaara eyya gelawu
Aatta loyttayisi gaada pilaa xixxa attawsu,Aaxxa loyxxayisi gaada filaa xixxa axxawaas
Aatti dawuro baana giidi ceeggees,Aaxxi dawuro baana giidi ceeggaas
Aawa ereenay ba Kochchan ceeqqees,Aawa ereenay ba Koccam ceeqqaas
Aawa karida cuchchay afalan woodhdhees,Aawa karida cuccay apalam wooddaas
Aawa kariya sheeshshsay hiitan yees,Aawa kariya hseehhsssay hiixam yaas
Aawa meccasiya azzinaa naata xeellayidda maataa biddinttan xiggaawusu,Aawa meccasiya azzinaa naaxa xeellayidda maaxaa biddinxxam xiggaawuaas
Aawa miida boorannay na'a ay woqqa gididee gees,Aawa miida boorannay na'a ay woqqa gididee gaas
Aawa woranawu eqqidi ayiyo shololayees,Aawa woranawu eqqidi ayiyo hsololayaas
Aawa worida maraqoy na'a ay wooqqa gidide gees,Aawa worida maraqoy na'a ay wooqqa gidide gaas
Aawassi miyobay baawa shin na'a assi achchay mokkees,Aawassi miyobay baawa hsim na'a assi accay mokkaas
Aawatetta adaeteeta,Aawaxexxa adaexeexa
Aaway de ishdhin na'a ay danattees,Aaway de ihsdhim na'a ay danaxxaas
Aaway deishshin xeea away deshshin woxxa,Aaway deihhssim xeea away dehhssim woxxa
Aaway kuttuwa shamin na'a ay garawaa shammees,Aaway kuxxuwa hsamim na'a ay garawaa hsammaas
Aaway laafanawu eqqidi naatu lanqquwa wurssees,Aaway laapanawu eqqidi naaxu lanqquwa wurssaas
Aaway siiqiyo na'a iyaa sawotawusu azinay siiqiyo machchiya lufatawusu,Aaway siiqiyo na'a iyaa sawoxawuaas azinay siiqiyo macciya lupaxawuaas
Aaway uuttaa tokkidi gattiyosan na'a ay bangga zeeridi gattenna,Aaway uuxxaa xokkidi gaxxiyosam na'a ay bangga zeeridi gaxxenna
Attuumi baynna keetta goorddi baynna pengiyaa,Axxuumi baynna keexxa goorddi baynna fengiyaa
Aaway yeelli uyini na'a aw doonay sawees,Aaway yeelli uyini na'a aw doonay sawaas
Aaway zebbidi zariyo sohuwa n ay goyidi wurssenna,Aaway zebbidi zariyo sohuwa m ay goyidi wurssenna
Aawaynne ayiyanne tama achchan hasayidoogaa na'a ay hentta gade kessees,Aawaynne ayiyanne xama accam hasayidoogaa na'a ay henxxa gade kezzaas
Aawayo miyobi baawa shin na'a ay achcha kesesses,Aawayo miyobi baawa hsim na'a ay acca kesesses
Aawu dososan baqiya wotteettees,Aawu dososam baqiya woxxeexxaas
Aawu ayfee tooraa ayifee,Aawu aypee xooraa ayipee
Aawu de ishin miishsha oyqqennaynne away de ishin soo geleenay issuwa,Aawu de ihsim miihhssa oyqqennaynne away de ihsim soo geleenay isaaswa
Aawu machcho haatti dugen min puden koyeettees,Aawu macco haaxxi dugem mim fudem koyeexxaas
Aawu masunttay assassi asho malatees,Aawu maaasnxxay assassi ahso malaxaas
Aawu qaaxxin baallee qaaxxees,Aawu qaaxxim baallee qaaxxaas
Aawuppe ayiya ho o ashoppe meqqetti mall  o,Aawuffe ayiya ho o ahsoffe meqqexxi mall  o
Aawuppe eriyayi parappe woxxiyay baa,Aawuffe eriyayi faraffe woxxiyay baa
Aawuppe kawyyiya afalay kasetiddi denddees,Aawuffe kawyyiya apalay kasexiddi denddaas
Aayee ittattettaynne puutto deexxotettaanne eray ereesi,Aayee ixxaxxexxaynne fuuxxo deexxoxexxaanne eray eraasi
Aayee uloy gazzaa yelees,Aayee uloy gazzaa yelaas
Aayeegee irimata  na'eegge bondee,Aayeegee irimaxa  na'eegge bondee
Aayeeyyo baynna sagaayoy na'eeyyoo  kushshiya mentees,Aayeeyyo baynna sagaayoy na'eeyyoo  kuhhssiya menxaas
Aayen xilqqi giiday maren tolkku gees,Aayem xilqqi giiday marem xolkku gaas
Aayiya de shin na'a iyaa gimawusu,Aayiya de hsim na'a iyaa gimawuaas
Aayiya hayqoynne shuchchaa bollan utettay aqqiidi ereettees,Aayiya hayqoynne haasccaa bollam uxexxay aqqiidi ereexxaas
Aayiya na'a iyo zoraydda bawu shahaarawusu,Aayiya na'a iyo zoraykka bawu hsahaarawuaas
